/Vout (wP2=3e-05) X,/Vout (wP2=3e-05) Y,/Vout (wP2=3.5e-05) X,/Vout (wP2=3.5e-05) Y,/Vout (wP2=4e-05) X,/Vout (wP2=4e-05) Y,/Vout (wP2=4.5e-05) X,/Vout (wP2=4.5e-05) Y,/Vout (wP2=5e-05) X,/Vout (wP2=5e-05) Y,/Vout (wP2=5.5e-05) X,/Vout (wP2=5.5e-05) Y,/Vout (wP2=6e-05) X,/Vout (wP2=6e-05) Y,/Vin (wP2=3e-05) X,/Vin (wP2=3e-05) Y,/Vin (wP2=3.5e-05) X,/Vin (wP2=3.5e-05) Y,/Vin (wP2=4e-05) X,/Vin (wP2=4e-05) Y,/Vin (wP2=4.5e-05) X,/Vin (wP2=4.5e-05) Y,/Vin (wP2=5e-05) X,/Vin (wP2=5e-05) Y,/Vin (wP2=5.5e-05) X,/Vin (wP2=5.5e-05) Y,/Vin (wP2=6e-05) X,/Vin (wP2=6e-05) Y,/Vin_ (wP2=3e-05) X,/Vin_ (wP2=3e-05) Y,/Vin_ (wP2=3.5e-05) X,/Vin_ (wP2=3.5e-05) Y,/Vin_ (wP2=4e-05) X,/Vin_ (wP2=4e-05) Y,/Vin_ (wP2=4.5e-05) X,/Vin_ (wP2=4.5e-05) Y,/Vin_ (wP2=5e-05) X,/Vin_ (wP2=5e-05) Y,/Vin_ (wP2=5.5e-05) X,/Vin_ (wP2=5.5e-05) Y,/Vin_ (wP2=6e-05) X,/Vin_ (wP2=6e-05) Y
1.009091973491e-09,4.955952708928566,1.00908081875e-09,4.960962037004808,1.009069130708e-09,4.964807108254354,1.009066379235e-09,4.967780145328246,1.009060054958e-09,4.97024773714741,1.009055606421e-09,4.972283112830486,1.009046352979e-09,4.974066067569829,1.009091973491e-09,0.5999414579941313,1.00908081875e-09,0.6005549687471858,1.009069130708e-09,0.6011978110476983,1.009066379235e-09,0.6013491420301047,1.009060054958e-09,0.6016969772835781,1.009055606421e-09,0.6019416467968401,1.009046352979e-09,0.602450586110475,1.009091973491e-09,0.5000585420058687,1.00908081875e-09,0.4994450312528143,1.009069130708e-09,0.4988021889523018,1.009066379235e-09,0.4986508579698953,1.009060054958e-09,0.498303022716422,1.009055606421e-09,0.4980583532031599,1.009046352979e-09,0.4975494138895252
1.009325443381e-09,4.951235712825243,1.009311550157e-09,4.956543061010403,1.009297523971e-09,4.960651669903159,1.009293112398e-09,4.963822151225636,1.009285189048e-09,4.96648051961291,1.009279415957e-09,4.96867929307709,1.009268783412e-09,4.970628171686312,1.009325443381e-09,0.5871006140302708,1.009311550157e-09,0.5878647413463564,1.009297523971e-09,0.5886361815418318,1.009293112398e-09,0.5888788180574203,1.009285189048e-09,0.5893146023163103,1.009279415957e-09,0.5896321223618629,1.009268783412e-09,0.5902169122859443,1.009325443381e-09,0.5128993859697293,1.009311550157e-09,0.5121352586536437,1.009297523971e-09,0.5113638184581683,1.009293112398e-09,0.5111211819425798,1.009285189048e-09,0.5106853976836898,1.009279415957e-09,0.5103678776381372,1.009268783412e-09,0.5097830877140558
1.009575539546e-09,4.944850867424693,1.009557653836e-09,4.950598256408308,1.009540241925e-09,4.955090761498127,1.009533363845e-09,4.958548279776711,1.009523118884e-09,4.961480216576285,1.009515407119e-09,4.963912096685628,1.009502833232e-09,4.966094289475676,1.009575539546e-09,0.5733453249273186,1.009557653836e-09,0.5743290390098185,1.009540241925e-09,0.5752866940864305,1.009533363845e-09,0.5756649885045431,1.009523118884e-09,0.5762284613263615,1.009515407119e-09,0.5766526084316818,1.009502833232e-09,0.5773441722257936,1.009575539546e-09,0.5266546750726815,1.009557653836e-09,0.5256709609901816,1.009540241925e-09,0.5247133059135696,1.009533363845e-09,0.524335011495457,1.009523118884e-09,0.5237715386736386,1.009515407119e-09,0.5233473915683183,1.009502833232e-09,0.5226558277742065
1.009849205023e-09,4.936015661749175,1.009824720796e-09,4.942463495974006,1.009801840107e-09,4.947551362190847,1.009791030623e-09,4.951447379291561,1.009777150916e-09,4.954789628646955,1.009766431412e-09,4.957567003482792,1.009750909293e-09,4.960089301094335,1.009849205023e-09,0.5582937237140063,1.009824720796e-09,0.5596403561962149,1.009801840107e-09,0.5608987940838142,1.009791030623e-09,0.5614933157277757,1.009777150916e-09,0.56225669960908,1.009766431412e-09,0.5628462723205128,1.009750909293e-09,0.5636999888443585,1.009849205023e-09,0.5417062762859938,1.009824720796e-09,0.5403596438037852,1.009801840107e-09,0.5391012059161859,1.009791030623e-09,0.5385066842722244,1.009777150916e-09,0.5377433003909201,1.009766431412e-09,0.5371537276794873,1.009750909293e-09,0.5363000111556416
1.010170001286e-09,4.922794336242893,1.010131097933e-09,4.93062008087784,1.010097055456e-09,4.936803098095738,1.010078718859e-09,4.941465724801517,1.010058084509e-09,4.945501718399046,1.010041959781e-09,4.948846317840613,1.0100212364e-09,4.951913847585577,1.010170001286e-09,0.5406499292598151,1.010131097933e-09,0.5427896136390888,1.010097055456e-09,0.544661949917892,1.010078718859e-09,0.5456704627510759,1.010058084509e-09,0.5468053519606438,1.010041959781e-09,0.5476922120128837,1.0100212364e-09,0.5488319979517279,1.010170001286e-09,0.5593500707401849,1.010131097933e-09,0.5572103863609112,1.010097055456e-09,0.5553380500821081,1.010078718859e-09,0.5543295372489242,1.010058084509e-09,0.5531946480393563,1.010041959781e-09,0.5523077879871164,1.0100212364e-09,0.5511680020482722
1.010524833542e-09,4.904066291047406,1.01056953324e-09,4.908231277771823,1.010487340642e-09,4.918361558003711,1.01044367333e-09,4.925192432805268,1.010403164344e-09,4.930952920702037,1.010372782327e-09,4.935569805491073,1.010339286132e-09,4.939778944465297,1.010524833542e-09,0.521134155188562,1.01056953324e-09,0.5186756717875602,1.010487340642e-09,0.5231962646482771,1.01044367333e-09,0.5255979668198911,1.010403164344e-09,0.5278259610481256,1.010372782327e-09,0.5294969719910066,1.010339286132e-09,0.5313392626906048,1.010524833542e-09,0.5788658448114381,1.01056953324e-09,0.5813243282124398,1.010487340642e-09,0.576803735351723,1.01044367333e-09,0.574402033180109,1.010403164344e-09,0.5721740389518745,1.010372782327e-09,0.5705030280089934,1.010339286132e-09,0.5686607373093953
1.01089262675e-09,4.879660739083472,1.010844109206e-09,4.89068621966455,1.010774381181e-09,4.901436244380164,1.010729492194e-09,4.909347227042717,1.010680086786e-09,4.916514709538558,1.010671855554e-09,4.920634564408441,1.010696086291e-09,4.922504690608353,1.01089262675e-09,0.5009055287146269,1.010844109206e-09,0.5035739936631459,1.010774381181e-09,0.5074090350353828,1.010729492194e-09,0.5098779293273711,1.010680086786e-09,0.5125952267346696,1.010671855554e-09,0.5130479445136165,1.010696086291e-09,0.5117152539890162,1.01089262675e-09,0.5990944712853732,1.010844109206e-09,0.5964260063368542,1.010774381181e-09,0.5925909649646173,1.010729492194e-09,0.590122070672629,1.010680086786e-09,0.5874047732653305,1.010671855554e-09,0.5869520554863836,1.010696086291e-09,0.5882847460109839
1.011167693209e-09,4.857955456391497,1.011107757029e-09,4.871142486502966,1.011060317243e-09,4.881557146180273,1.011032515485e-09,4.889354593675288,1.011002638327e-09,4.896337038157236,1.011015942996e-09,4.899703877159771,1.011064673578e-09,4.900236773655907,1.011167693209e-09,0.4857768734919568,1.011107757029e-09,0.4890733633646566,1.011060317243e-09,0.4916825515966519,1.011032515485e-09,0.4932116482845874,1.011002638327e-09,0.4948548919959288,1.011015942996e-09,0.4941231351856893,1.011064673578e-09,0.4914429531611489,1.011167693209e-09,0.6142231265080433,1.011107757029e-09,0.6109266366353435,1.011060317243e-09,0.6083174484033482,1.011032515485e-09,0.6067883517154127,1.011002638327e-09,0.6051451080040713,1.011015942996e-09,0.6058768648143108,1.011064673578e-09,0.6085570468388511
1.011398000177e-09,4.837500799827552,1.011349745036e-09,4.850852159194371,1.011311497464e-09,4.861561144866628,1.011292525166e-09,4.869515867549658,1.011273398138e-09,4.876524348383819,1.011292685026e-09,4.879867353405284,1.011343177887e-09,4.880334992400726,1.011398000177e-09,0.4731099902298171,1.011349745036e-09,0.4757640229812096,1.011311497464e-09,0.4778676394792379,1.011292525166e-09,0.478911115842652,1.011273398138e-09,0.4799631024054248,1.011292685026e-09,0.4789023235482717,1.011343177887e-09,0.4761252161947213,1.011398000177e-09,0.6268900097701829,1.011349745036e-09,0.6242359770187905,1.011311497464e-09,0.6221323605207622,1.011292525166e-09,0.6210888841573481,1.011273398138e-09,0.6200368975945753,1.011292685026e-09,0.6210976764517284,1.011343177887e-09,0.6238747838052788
1.011618526326e-09,4.816017020007377,1.011574241488e-09,4.830054884168881,1.011538935875e-09,4.841437947096184,1.011523010667e-09,4.849874580668785,1.011507393878e-09,4.857295765342173,1.011528370687e-09,4.860868274495691,1.011578968502e-09,4.861424237197853,1.011618526326e-09,0.4609810520518905,1.011574241488e-09,0.4634167181191704,1.011538935875e-09,0.4653585268241036,1.011523010667e-09,0.4662344133007187,1.011507393878e-09,0.4670933366747422,1.011528370687e-09,0.4659396122042742,1.011578968502e-09,0.4631567323618534,1.011618526326e-09,0.6390189479481095,1.011574241488e-09,0.6365832818808297,1.011538935875e-09,0.6346414731758965,1.011523010667e-09,0.6337655866992814,1.011507393878e-09,0.6329066633252579,1.011528370687e-09,0.6340603877957259,1.011578968502e-09,0.6368432676381467
