/Vout_NMOS (lP16=1.8e-06,wP16=3e-05,wN10=1.5e-05) X,/Vout_NMOS (lP16=1.8e-06,wP16=3e-05,wN10=1.5e-05) Y,/Vout_NMOS (lP16=1.8e-06,wP16=1e-05,wN10=3.5e-05) X,/Vout_NMOS (lP16=1.8e-06,wP16=1e-05,wN10=3.5e-05) Y,/Vout_NMOS (lP16=1.4e-06,wP16=2e-05,wN10=2.5e-05) X,/Vout_NMOS (lP16=1.4e-06,wP16=2e-05,wN10=2.5e-05) Y,/Vout_NMOS (lP16=1e-06,wP16=3e-05,wN10=1.5e-05) X,/Vout_NMOS (lP16=1e-06,wP16=3e-05,wN10=1.5e-05) Y
4.999999999999999e-10,0.02454070953638226,4.999999999999999e-10,0.0007021194414592172,4.999999999999999e-10,0.002019950354316118,4.999999999999999e-10,0.006787946963793543
5.003057352529999e-10,0.02268798068935318,5.004687499999999e-10,-0.0005642756355130383,5.00445567432e-10,0.0005606435951099572,5.00315993317e-10,0.00558267397977606
5.00587273364e-10,0.02079228820968167,5.009706523719999e-10,-0.002611987943892187,5.008964072839999e-10,-0.001577982476275267,5.00609637702e-10,0.00424918695233177
5.0084714821e-10,0.01895671489480856,5.01119913615e-10,-0.003336447258408111,5.010449950599999e-10,-0.002418513409067261,5.00884203149e-10,0.002894685498225686
5.011304985909999e-10,0.01695042688280156,5.012486532509999e-10,-0.003993577871948636,5.011936333899999e-10,-0.003297835457007834,5.01182258133e-10,0.001399775602290616
5.013954410809999e-10,0.01511526516319933,5.0142705477e-10,-0.00494203655689201,5.013343445289999e-10,-0.004150245413448419,5.014557560409999e-10,5.116787831265474e-05
5.016870533599999e-10,0.01316456625036063,5.01694292522e-10,-0.006418324644985761,5.014719361489999e-10,-0.004993027468993262,5.015346020219999e-10,-0.0003655720818508821
5.020694169489999e-10,0.01072468036180736,5.02053168045e-10,-0.008452501637608651,5.016668346729999e-10,-0.006188451842956777,5.0159926555e-10,-0.000712644603833028
5.02656695737e-10,0.00722118515622472,5.025114802489999e-10,-0.01105433398621821,5.01954053131e-10,-0.007928917223077087,5.016542331729999e-10,-0.001005447966775481
5.038312533119999e-10,0.0009646763876898853,5.030358525419999e-10,-0.01395167019971908,5.02486195311e-10,-0.01101991559478553,5.01729752805e-10,-0.001401702736726922
5.04145317649e-10,-0.0006069932684735106,5.0361666792e-10,-0.01699512605949426,5.030965697569999e-10,-0.01430172650721095,5.01794606214e-10,-0.00173686440219166
5.04425506691e-10,-0.00204183917180994,5.042887340519999e-10,-0.02026035243626871,5.038031477769999e-10,-0.01773982993818715,5.018822513899999e-10,-0.002183246704704597
5.045351679259999e-10,-0.002589735204365872,5.0509482675e-10,-0.02381740111547796,5.0471061211e-10,-0.02165100735705995,5.020030732789999e-10,-0.002787477221169698
5.046256653259999e-10,-0.003033880926109801,5.06112035303e-10,-0.0278211960864815,5.06012948987e-10,-0.0265049598021081,5.021861625419999e-10,-0.003680870474536869
5.047242604309999e-10,-0.003510912709218452,5.075149403219999e-10,-0.03268513313272515,5.06780449637e-10,-0.02903406824616164,5.02497162383e-10,-0.0051430436199544
5.048727345989999e-10,-0.004217556028272899,5.081782002589999e-10,-0.03477436145559456,5.076159256579999e-10,-0.03159300324300646,5.03069262333e-10,-0.007671662504432769
5.050772085129999e-10,-0.005169214447423649,5.095047201319999e-10,-0.03873676377763486,5.08285626741e-10,-0.03353858521807856,5.042134622339999e-10,-0.01221070263967682
5.053650267119999e-10,-0.006469251809308772,5.099751235589999e-10,-0.04009186408446127,5.096250289069999e-10,-0.037285070020139,5.049572160859999e-10,-0.01484391574194772
5.058510574959999e-10,-0.008568915610217269,5.10915930411e-10,-0.04278331237334462,5.10090069739e-10,-0.03855553043840153,5.064447237889999e-10,-0.01957081289308215
5.06823119065e-10,-0.01246163895553568,5.11424738788e-10,-0.04424175989194131,5.110201514019999e-10,-0.04109865091366418,5.0715666972e-10,-0.02162327942214213
5.07515246679e-10,-0.01501808055124821,5.12442355541e-10,-0.04721313287354027,5.115232577299999e-10,-0.04248730089995692,5.08580561583e-10,-0.02547682544248152
5.08899501905e-10,-0.01974041787700943,5.136377808119999e-10,-0.05087399378327818,5.125294703859999e-10,-0.04533987555961542,5.091046583589999e-10,-0.02682830874638693
5.093979637209999e-10,-0.02133194270348134,5.145906330759999e-10,-0.05398974550885443,5.13741991722e-10,-0.04900796032818466,5.1015285191e-10,-0.02948311557810613
5.10394887352e-10,-0.02440591397191507,5.153585425149999e-10,-0.05667855060202719,5.14710673842e-10,-0.05221855803579234,5.106347602609999e-10,-0.03069252969113438
5.10896067736e-10,-0.02590964823074425,5.160271616319999e-10,-0.05918781134147555,5.154881035399999e-10,-0.0550592457369101,5.115985769629999e-10,-0.03313204333285993
5.11898428505e-10,-0.02888655689223393,5.166611325089999e-10,-0.06174421045247147,5.16165026001e-10,-0.05779425951978747,5.13038929197e-10,-0.0369665846841666
5.133784317989999e-10,-0.03337257506789725,5.173437348639999e-10,-0.06472221216519353,5.168088134099999e-10,-0.06068385500528756,5.14203461812e-10,-0.04039949065193992
5.14566052202e-10,-0.0372421510291824,5.18358195763e-10,-0.06963487433353699,5.17504828835e-10,-0.06419102691504779,5.150956807079999e-10,-0.0433802687706596
5.154678310179999e-10,-0.04050464474196327,5.188678529739999e-10,-0.07233048380756367,5.18532026174e-10,-0.07021310333570124,5.15832853642e-10,-0.04619826916228392
5.162153341119999e-10,-0.04355401508618547,5.19356468673e-10,-0.07505895432075323,5.19061253967e-10,-0.0737296842813366,5.164918117739999e-10,-0.04909698410206825
